tracker,baseline,diff,ci_low,ci_high,n_videos,n_events
runA-ekf_ctrv,runA-cv,-0.007976071784646044,-0.018324960323511635,0.0019438242195833008,55,1003
runA-ukf_ctrv,runA-cv,-0.006979062811565295,-0.016179070587587448,0.0009881912104253896,55,1003
