video,HOTA,DetA,AssA,MOTA,MOTP,FP,FN,IDSW,GT_dets,IDF1,IDP,IDR
MVI_40131,0.6565350942574507,0.6711121566008182,0.6437609867006276,0.7727094753328113,0.8289510352571968,1423,1946,114,15324,0.8037842323651452,0.8179852712654551,0.7900678673975463
MVI_40171,0.4589178266237239,0.3919983740021883,0.5408844057954095,0.3779121863799283,0.8105056408555714,967,4471,116,8928,0.5288461538461539,0.6996681415929203,0.42506720430107525
MVI_40172,0.414205790531142,0.395422773727266,0.4341810278051908,0.4277918641825598,0.840797810284056,793,9453,135,18142,0.46126556617434117,0.6719046614638262,0.35117407121596295
MVI_40204,0.6122751695956051,0.5905146725513157,0.636858468239645,0.7056358123773854,0.8149321213074368,1113,5317,172,22428,0.7970087572567155,0.888937664618086,0.7223113964686998
MVI_40751,0.6240687616233869,0.5935244445522821,0.6678766098571849,0.711075006769564,0.7920414919012418,838,1230,66,7386,0.7707927677329625,0.7923934801258221,0.7503384782020038
MVI_63554,0.5496246266418606,0.5364401301606595,0.5654630324502897,0.6203919975627095,0.7888311829126895,739,2883,116,9847,0.6958404558404558,0.7926781773335064,0.6200873362445415
