doan,anchor,omega,var_omega,occlusion_ratio,v,theta
1,491,0.0,0.010000000000000002,0.0,0.0,0.0
2,523,0.21271919973580544,-0.03865963670080591,0.07700771188214418,6.300177449945354,-2.819055425095438
3,574,0.007989488701966757,0.0006391622253623148,0.08810506857781905,3.7979240128810603,-2.937920356769729
