doan,vx_kf,vy_kf,vx_ctrv,vy_ctrv,lech,T
1,0.0,0.0,0.0,0.0,0.0,26
2,-10.617203358459806,-3.0440498759983146,-5.975303988510408,-1.9969922748201956,4.758524916496865,40
3,-3.708300635409096,-1.0944423465734818,-3.8274138525009676,-1.1308564119786255,0.12455497840433927,35
