video,track_id,start,end,T,omega_ekf,v_ekf,R_px,arc_deg,omega_gt_before,omega_gt_during
MVI_39821,13,465,501,37,0.001379234516814706,10.996096756639663,7972.60844517926,2.923899720573177,-0.0037352608752456032,-0.003750125895553096
MVI_39821,24,702,722,21,1.6195926894968233,18.004172053718044,11.116481428001258,1948.7123384066097,0.02603122084473508,-0.006943652403994924
MVI_39821,24,759,784,26,1.9437339635888238,0.41305708374774736,0.2125070053234534,2895.5615678567456,0.0095576698363136,-0.010822534568677303
MVI_39821,25,851,861,11,9.58922362415363e-05,12.34959747767831,128786.2079529751,0.060436424671826125,0.00036598909282683844,-0.022717213477719503
MVI_39861,1,23,48,26,-0.00459215186804776,1.9058435735989516,415.02189569553025,6.840883943978592,-0.10661472437371135,
MVI_39861,1,169,241,73,0.002256718631584651,4.075095091903056,1805.761265435893,9.43893307909875,-0.00038017685637412247,0.010041329352835509
MVI_39861,7,420,421,2,-0.532760719096877,25.41563966735412,47.705543513865095,61.0498813892117,-0.022655881881708195,
MVI_39861,7,441,447,7,-0.15326550074581233,-5.52890939025141,36.0740633955256,61.47026436385952,0.0006928228002008788,-0.0005011643492679241
MVI_39861,7,484,521,38,0.0007633264467125219,-3.1695549828524916,4152.292897099352,1.661944583919119,-0.011820751184351707,0.005270145360242668
MVI_39861,7,529,565,37,0.0025936169163226458,-1.5742435503760857,606.9684156009143,5.498322210223844,0.09925103744175494,-0.10055918039081872
MVI_39931,4,142,181,40,-0.0022790126308237855,1.883759487669503,826.5682524930053,5.223112208128372,-0.025732301333346672,0.006039065775123016
MVI_39931,12,100,201,102,-0.08985655904443038,4.1345552670350285,46.012837693803306,525.1369626710225,-0.027268509747167546,0.0012538942323290004
MVI_39931,14,324,361,38,0.006486927385021959,-2.0915740719815976,322.42908665988057,14.123595324444565,0.05258817204529699,-0.008114419033785984
MVI_39931,17,407,431,25,0.010658518451329525,-1.759685367693826,165.09661973464296,15.267203078087402,0.027373839359670082,-0.02662258765280225
MVI_39931,19,577,611,35,-0.005148139244717317,-1.3425988549859298,260.79303436938244,10.323832787378935,-6.306823503798853e-05,-0.0072721360005219395
MVI_40172,16,244,423,180,0.017995751356628446,1.789022956920063,99.41362944321328,185.5945083422944,0.004099112745268529,-0.0018749168728543237
MVI_40191,204,1706,1707,2,0.0014862198107753856,1.0455449610917167,703.4928168170753,0.17030824517232285,0.00027081620000224405,
MVI_40204,115,771,841,71,-0.006711469925410119,10.37766793843589,1546.258577296946,27.302261974903665,-0.005816541143144611,-0.00033011922288519975
MVI_40204,115,848,851,4,0.010172917247929894,3.01343171192311,296.2209991963042,2.3314608945688935,-0.01886576299482436,0.0
MVI_40204,126,904,946,43,0.0003560068052036923,4.032081579420627,11325.855350190952,0.877100558892627,0.004406806552687181,0.004087601210311064
MVI_40204,126,988,991,4,0.008883700023286261,1.2982444493251606,146.13780811172794,2.035994071178296,0.11093799227241417,
MVI_40204,161,1119,1185,67,0.012066681556068628,4.707937299106298,390.16006822012815,46.321785034702714,0.002873355675751609,-0.0016593370654568672
MVI_40732,16,122,123,2,0.05914268400830468,2.3319287381441995,39.428862204102124,6.77725236550345,0.005942566238856669,
MVI_40732,16,225,326,102,0.0030343500722023855,4.218636459301144,1390.2932617920326,17.733256175646158,0.015752349023005836,-0.0014829302196041594
MVI_40732,40,635,647,13,-1.569848257240235e-05,1.8630750963936864,118678.67405662117,0.011692938350058298,-0.0009984415345469788,0.0007834031740682302
MVI_40732,40,745,811,67,0.003504292161384275,7.1187017850159835,2031.423596314508,13.45233711888244,0.0067734651475384895,-0.010237350420648201
MVI_40751,7,147,160,14,0.6982994778203216,1.7718046754760972,2.537313476170173,560.1345808141114,-0.01256169327797017,-0.018609094203005716
MVI_40751,7,179,275,97,0.5778335973840557,-0.36460822723250114,0.6309917403265237,3211.4203599238995,-0.00893634809261559,0.004421144537853098
MVI_40751,11,352,440,89,0.20757361371715438,26.973028829585502,129.94440067098174,1058.48518838019,0.00933703623927855,0.0028025335818525174
MVI_40991,3,127,172,46,-0.004364428666897196,10.43656836063668,2391.2793992475426,11.502913759559409,-0.006244621922298073,0.00014929482147540973
MVI_40991,12,652,720,69,3.765676508575418e-05,12.753841616287545,338686.59687691584,0.14887258595752226,0.00013361638087605598,-0.0007910466920428749
MVI_40991,13,718,766,49,-0.005225630553318609,9.415907589615033,1801.8701271629948,14.6709222239887,-0.006948180871010772,0.005784013514115394
MVI_40991,13,809,818,10,0.004094032017840364,1.6428194227840858,401.27175743258766,2.34570755813681,0.024203566765288412,
