doan,start,end,T,n_truoc_che,box_w,box_h,occ_max,occ_anchor,gt_x,gt_y,fde_KF,x_KF,y_KF,fde_EKF,x_EKF,y_EKF,v_anchor_EKF,omega_anchor_EKF,fde_EKFC,x_EKFC,y_EKFC,v_anchor_EKFC,omega_anchor_EKFC
1,492,517,26,1,12.73,66.07,0.7093052420366193,0.0,685.725,280.39,283.14399892104365,954.635,369.03499999999997,283.14399892104365,954.635,369.03499999999997,0.0,0.0,283.14399892104365,954.635,369.03499999999997,0.0,0.0
2,524,563,40,15,184.89,90.6,0.9857618540626779,0.07700771188214418,350.365,193.03,161.37569357572866,196.49614688855758,144.38341204959153,267.10566676615673,616.6430862684538,214.0399498286663,6.300177449945354,0.21271919973580544,349.80963110309375,438.3572296374633,531.5918784445621,9.559986642350447,-0.05
3,575,609,35,15,95.93,54.97,0.49965086066661835,0.08810506857781905,245.61999999999998,152.285,63.73787692229144,182.68852725087896,142.1782353253966,60.13290178465923,187.7128064533406,136.07627356658756,3.7979240128810603,0.007989488701966757,76.8284780686665,304.5890076374092,201.5320423538992,0.6487524278810813,-0.016586456600188995
