video,n_images,n_ignored_regions,n_det_boxes,n_tracks,seconds,fps
MVI_20011,664,7,5155,78,9.5,69.8
MVI_40962,1875,5,6959,119,22.2,84.5
MVI_39811,1070,5,649,36,11.5,93.2
MVI_40204,1225,2,17911,293,16.5,74.1
MVI_63521,2055,2,12898,179,25.6,80.2
