video,n_images,n_ignored_regions,n_det_boxes,n_tracks,seconds,fps
MVI_40131,1645,6,14799,137,38.9,42.3
MVI_40171,1150,1,5425,72,23.6,48.6
MVI_40172,2635,3,9463,148,54.5,48.4
MVI_40204,1225,2,18222,233,27.7,44.2
MVI_40751,1145,1,6990,77,25.2,45.4
MVI_63554,1445,1,7712,199,29.3,49.4
