video,n_images,n_ignored_regions,n_det_boxes,n_tracks,seconds,fps
MVI_40131,1645,6,14801,138,42.2,38.9
MVI_40171,1150,1,5420,72,26.8,42.9
MVI_40172,2635,3,9458,149,53.5,49.3
MVI_40204,1225,2,18224,233,32.8,37.4
MVI_40751,1145,1,6995,77,25.7,44.6
MVI_63554,1445,1,7707,190,33.4,43.3
