video,n_images,n_ignored_regions,n_det_boxes,n_tracks,seconds,fps
MVI_40131,1645,6,14702,158,,
MVI_40171,1150,1,5381,109,,
MVI_40172,2635,3,9426,205,,
MVI_40204,1225,2,17913,293,,
MVI_40751,1145,1,6967,97,,
MVI_63554,1445,1,7578,236,,
