video,n_gt_boxes,n_dropped_by_visibility,n_tracks,n_frames_with_gt,max_frame,seq_length,seq_length_from_images,n_ignored_regions,n_distractor_rows
MVI_20011,7655,0,53,664,664,664,True,7,0
MVI_39811,599,0,9,500,786,1070,True,5,0
MVI_40204,22428,0,179,1225,1225,1225,True,2,0
MVI_40962,7580,0,90,1875,1875,1875,True,5,0
MVI_63521,15088,0,90,2055,2055,2055,True,2,0
