video,n_images,n_ignored_regions,n_det_boxes,n_tracks,seconds,fps
MVI_40131,1645,6,14704,158,42.1,39.1
MVI_40171,1150,1,5385,108,26.5,43.4
MVI_40172,2635,3,9429,206,54.4,48.4
MVI_40204,1225,2,17918,293,33.1,37.0
MVI_40751,1145,1,6968,97,26.1,43.8
MVI_63554,1445,1,7582,233,31.5,45.8
