video,HOTA,DetA,AssA,MOTA,MOTP,FP,FN,IDSW,GT_dets,IDF1,IDP,IDR
MVI_40131,0.6580695129971413,0.6720575907670548,0.6458017434207848,0.7753850169668494,0.8290398414840642,1405,1944,93,15324,0.8054070211564649,0.8200879269529929,0.7912424954320021
MVI_40171,0.45377087511581876,0.3916971886238757,0.5289568670869901,0.38127240143369173,0.8086798939632457,941,4454,129,8928,0.5325245764484418,0.7052631578947368,0.427755376344086
MVI_40172,0.4129199354850923,0.3915104438927917,0.4355404736923044,0.4239334141770477,0.8385994384244131,825,9512,114,18142,0.4524404826611588,0.6602855631940772,0.34411861977731234
MVI_40204,0.6196684844757647,0.5905865821449344,0.6522074237103642,0.7058587479935795,0.8148115181278647,1107,5312,178,22428,0.8128705320902315,0.9066564232014487,0.7366684501515962
MVI_40751,0.6208856625766652,0.5940248602515757,0.6605181912465511,0.7122935282967777,0.7924698670553212,835,1232,58,7386,0.7639652173913043,0.7856631850050079,0.7434335228811264
MVI_63554,0.5765456746846901,0.5320556462977936,0.6270831876560614,0.6148065400629633,0.7852625843195891,775,2928,90,9847,0.760275924975771,0.8666493371458279,0.6771605565146745
