motion_model,HOTA,DetA,AssA,MOTA,IDF1,IDP,IDR,FP,FN,IDSW,tracker_dir
KF + CV (baseline),0.6367287035405566,0.609902321292708,0.6668047507003786,0.7175445173383318,0.8299653579676675,0.9222767059254846,0.7544517338331771,2616,12324,129,yolov8n-bytetrack
EKF + CTRV,0.6345980329389342,0.6090414999581211,0.6633093258759325,0.7160637300843486,0.8252821856750789,0.917883044156798,0.7496532333645736,2608,12386,154,yolov8n-ekf-ctrv
UKF + CTRV,0.6341957523519105,0.6090339224227004,0.6625089893603907,0.7163261480787254,0.8245671955925139,0.9170414907288416,0.7490346766635426,2607,12381,146,yolov8n-ukf-ctrv
