video,track_id,seg_id,lvl,bucket,n_pred,model,iou,diou,expand,traceP
MVI_63554,82,0,full,long,47,KF + CV,0.0,-0.6437080731840624,6.0000000000000036,40077.13545661352
MVI_63554,82,0,full,long,47,EKF + CTRV,0.0,-0.7027652210146327,7.800000000000006,1227766.3936894634
MVI_63554,82,0,full,long,47,UKF + CTRV,0.0,-0.5366629740657043,3.9000000000000026,140072.04126911057
MVI_63554,86,0,full,long,43,KF + CV,0.0,-0.37052013109184223,1.9000000000000008,40373.766907178775
MVI_63554,86,0,full,long,43,EKF + CTRV,0.0,-0.4566282016779232,2.6000000000000014,411613.79830860306
MVI_63554,86,0,full,long,43,UKF + CTRV,0.0,-0.3370212904467866,1.8000000000000007,80486.39201186899
MVI_63554,101,0,full,long,42,KF + CV,0.0,-0.9611539608254376,inf,21315.528235541547
MVI_63554,101,0,full,long,42,EKF + CTRV,0.0,-0.9695621567988245,inf,753859.3964037694
MVI_63554,101,0,full,long,42,UKF + CTRV,0.0,-0.9462977436721544,inf,114942.95620341667
MVI_63554,108,0,full,long,39,KF + CV,0.0,-0.39715270321645046,2.200000000000001,33277.90122383321
MVI_63554,108,0,full,long,39,EKF + CTRV,0.0,-0.5834108408689218,5.800000000000004,329511.4805918241
MVI_63554,108,0,full,long,39,UKF + CTRV,0.0,-0.5140725124258482,4.700000000000003,127763.95194719986
MVI_63554,124,0,full,medium,24,KF + CV,0.091366298259945,-0.07218852868336492,1.0,7952.605062513871
MVI_63554,124,0,full,medium,24,EKF + CTRV,0.0,-0.26919017652919525,1.2000000000000002,51069.98450794261
MVI_63554,124,0,full,medium,24,UKF + CTRV,0.0,-0.21031677073502492,1.1,33675.61216130904
MVI_63554,147,0,full,medium,28,KF + CV,0.0,-0.2675612781488417,1.3000000000000003,12107.565236257195
MVI_63554,147,0,full,medium,28,EKF + CTRV,0.0,-0.3324551219843495,1.8000000000000007,87072.81691346032
MVI_63554,147,0,full,medium,28,UKF + CTRV,0.0,-0.25545952860962057,1.2000000000000002,50050.34995984489
MVI_63554,165,0,full,medium,20,KF + CV,0.0,-0.47646652226814135,6.700000000000005,4239.5481863604755
MVI_63554,165,0,full,medium,20,EKF + CTRV,0.0,-0.5514676275420837,9.500000000000007,44643.10957580964
MVI_63554,165,0,full,medium,20,UKF + CTRV,0.0,-0.4928308932478024,7.300000000000006,30931.913356319023
MVI_63554,165,1,full,medium,22,KF + CV,0.0,-0.33297962981871715,1.9000000000000008,2083.2692036723815
MVI_63554,165,1,full,medium,22,EKF + CTRV,0.0,-0.34913109694310496,2.100000000000001,7771.702693626249
MVI_63554,165,1,full,medium,22,UKF + CTRV,0.0,-0.3182502179039265,1.8000000000000007,6552.3811291247675
MVI_63554,171,0,full,medium,33,KF + CV,0.0,-0.6388155753752356,inf,11105.652911673109
MVI_63554,171,0,full,medium,33,EKF + CTRV,0.0,-0.667373934679727,inf,161389.73982355325
MVI_63554,171,0,full,medium,33,UKF + CTRV,0.0,-0.5676240539079477,8.900000000000007,92981.7228369278
MVI_63554,182,0,full,long,38,KF + CV,0.0,-0.6091062534727292,5.800000000000004,19229.67356625675
MVI_63554,182,0,full,long,38,EKF + CTRV,0.0,-0.6674932277949883,7.100000000000005,315569.60062383505
MVI_63554,182,0,full,long,38,UKF + CTRV,0.0,-0.5983416354483534,6.200000000000005,65343.97482639351
MVI_63561,75,0,full,medium,36,KF + CV,0.0,-0.3297074733658129,2.000000000000001,6417.358909231657
