seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
MVI_20011,0.6649944531154914,0.7980798529440546,0.5307186753510235,0.6649944531154914,0.6643790698984919,0.6643306646298995,0.6641500142117963,0.6641500142117963,0.6634423827599307,0.6614162734152903,0.6556061236538958,0.6507078541062387,0.6425990413256444,0.6299870436334684,0.6132049932867759,0.5822400027067479,0.5388166669801103,0.46860594622381274,0.35672870127035194,0.21291125122313723,0.0756751959204197,0.008462307703750543,0.5306530526461605,0.6488608572531858,0.6463179539904896,0.646106399383192,0.645260724377087,0.645260724377087,0.6444159178433889,0.642097167029868,0.6328871892925431,0.6266666666666667,0.6168118137069292,0.6032540675844806,0.5859848953819488,0.553668890236507,0.5056417489421721,0.43080531665363564,0.31479010571692495,0.17490598917729067,0.05475504322766571,0.004548306148055207,0.5064757777362693,0.6815292026497108,0.682944897002939,0.6830689688090483,0.6835922669915293,0.6835922669915293,0.6830306065610635,0.6813166436509454,0.6791406061686129,0.6756713479716159,0.6694643629326426,0.6579046814142822,0.6416895158137863,0.6122854773493667,0.5741681758338314,0.5097233584349306,0.40425465730637167,0.25917466354712765,0.10458827059605715,0.01574446603678504,0.556993917687483,0.6585238406270412,0.6569562377531025,0.6568256041802744,0.6563030698889615,0.6563030698889615,0.6557805355976486,0.6543435662965382,0.6485956890920966,0.6446766819072501,0.6384062704114958,0.6296538210320052,0.6182887001959504,0.5963422599608099,0.5619856303069889,0.5038536903984324,0.40065316786414107,0.24911822338340953,0.0868713259307642,0.0075767472240365775,0.5358451648389424,0.9778855480116392,0.9755577109602328,0.9753637245392822,0.9745877788554801,0.9745877788554801,0.973811833171678,0.9716779825412221,0.9631425800193987,0.9573229873908826,0.948011639185257,0.9350145489815713,0.9181377303588749,0.8855480116391853,0.834529582929195,0.7482056256062075,0.5949563530552862,0.3699321047526673,0.12900096993210475,0.01125121241513094,0.7957118791158302,0.6879390359250374,0.68935510475848,0.689480584779625,0.6900088543328142,0.6900088543328142,0.689800978633364,0.6888366564364418,0.6879439795216459,0.6860698907674398,0.6824889158277888,0.6756067698316977,0.6655507680619719,0.6471388261869659,0.6216416439535138,0.5781679307271111,0.4963003444165742,0.35650069837437176,0.1685795073677298,0.028517454384699464,0.5852598315063204,0.9860540571259143,0.9870434199869937,0.9868817341118917,0.9870305253014713,0.9870305253014713,0.9866272051790728,0.9844838473702127,0.9773868824423935,0.9724951013673037,0.9639929972771495,0.9519771778050286,0.9372616245131752,0.9080461416957736,0.8653781014248766,0.7885687306616563,0.6568535792299174,0.45587860284346404,0.20727524124123997,0.03586791740549793,0.8224280743307634,0.7980798529440546,0.7998109079958389,0.799940269832853,0.8004402398576421,0.8004402398576421,0.8008510269349675,0.8018763881436799,0.80567339935157,0.8079839557278071,0.8112286467484441,0.8151784568095265,0.8195625105544925,0.826629553296219,0.8357258513000789,0.8481343651836059,0.8663733223506259,0.8910534791759689,0.9222528354064955,0.9605214066446544,0.8321977214797983,0.6699277782181992,0.6698245368211969,0.669818772605546,0.6698087065565028,0.6698087065565028,0.6692668951921954,0.6676939136938027,0.6636924509502543,0.659992092884559,0.6537509060133196,0.6436242665774394,0.6298804463244392,0.6042612889336074,0.5680442449300844,0.5067800264707782,0.40244988392796255,0.2540966975953315,0.09531905236354925,0.010922080357612702,0.5462611972090992,5041.0,5029.0,5028.0,5024.0,5024.0,5020.0,5009.0,4965.0,4935.0,4887.0,4820.0,4733.0,4565.0,4302.0,3857.0,3067.0,1907.0,665.0,58.0,4101.894736842105,2614.0,2626.0,2627.0,2631.0,2631.0,2635.0,2646.0,2690.0,2720.0,2768.0,2835.0,2922.0,3090.0,3353.0,3798.0,4588.0,5748.0,6990.0,7597.0,3553.1052631578946,114.0,126.0,127.0,131.0,131.0,135.0,146.0,190.0,220.0,268.0,335.0,422.0,590.0,853.0,1298.0,2088.0,3248.0,4490.0,5097.0,1053.1052631578948,0.6015676028739386,0.8113331229825476,0.6033964728935336,0.6384062704114958,0.948011639185257,0.24528301886792453,0.7169811320754716,0.03773584905660377,0.48112148556704243,0.7629976580796253,0.4036144578313253,0.6032467500933144,3964.98497201571,4887,2768,268,14,13,38,2,78.0,664,0.7383294301327088,0.6177661659046375,0.9173617846750728,4729,2926,426,5155,7655,78,53
MVI_39811,0.6722603408819963,0.8166968251644123,0.549032886082272,0.6722603408819963,0.6722603408819963,0.6722603408819963,0.6722603408819963,0.6722603408819963,0.671814809588877,0.6713750370563748,0.6713750370563748,0.6678979467120063,0.6678979467120063,0.6645917856011174,0.6475749055662777,0.6221430111796405,0.5826443088860424,0.5053866464978469,0.4025981055862051,0.2590052850577472,0.09220100788918578,0.015330541968767365,0.5527967410404449,0.6020539152759948,0.6020539152759948,0.6020539152759948,0.6020539152759948,0.6020539152759948,0.6,0.5979513444302177,0.5979513444302177,0.5898089171974522,0.5898089171974522,0.5857687420584498,0.569811320754717,0.5388409371146733,0.5,0.43448275862068964,0.34049409237379163,0.2140077821011673,0.0639386189258312,0.0056406124093473006,0.48625131389442006,0.7506536448909252,0.7506536448909252,0.7506536448909252,0.7506536448909252,0.7506536448909252,0.7522252306382317,0.7538145780271787,0.7538145780271787,0.756325742482418,0.756325742482418,0.7540215272265401,0.7359510824806688,0.718323163106848,0.6789487813545878,0.5878614453406231,0.47602950609687916,0.3134640106504753,0.13295604438442576,0.041666666666666664,0.6297366486010403,0.7829716193656093,0.7829716193656093,0.7829716193656093,0.7829716193656093,0.7829716193656093,0.7813021702838063,0.7796327212020033,0.7796327212020033,0.7729549248747913,0.7729549248747913,0.7696160267111853,0.7562604340567612,0.7295492487479132,0.6944908180300501,0.6310517529215359,0.5292153589315526,0.3672787979966611,0.12520868113522537,0.011686143572621035,0.6534575169141551,0.7226502311248074,0.7226502311248074,0.7226502311248074,0.7226502311248074,0.7226502311248074,0.7211093990755008,0.7195685670261941,0.7195685670261941,0.7134052388289677,0.7134052388289677,0.7103235747303543,0.6979969183359014,0.6733436055469953,0.6409861325115562,0.5824345146379045,0.4884437596302003,0.3389830508474576,0.11556240369799692,0.01078582434514638,0.6031141026680724,0.789321536269749,0.789321536269749,0.789321536269749,0.789321536269749,0.789321536269749,0.7909757457165829,0.7926471784340344,0.7926471784340344,0.7964118023741614,0.7964118023741614,0.7957670305299124,0.7862532036405407,0.7797895244648579,0.7582096145084496,0.6962529254041352,0.6092316683955626,0.46326643774127946,0.256517630074006,0.08139534883720931,0.6917044616988248,0.950614417875624,0.950614417875624,0.950614417875624,0.950614417875624,0.950614417875624,0.950508893127495,0.9521159785517508,0.9521159785517508,0.9511960841979862,0.9511960841979862,0.9469472361660662,0.9299484198805513,0.9069237116331066,0.872057931924505,0.792347287658427,0.6804112759890213,0.4933317944733686,0.22662105792076603,0.07865168539325842,0.8124971320549558,0.8166968251644123,0.8166968251644123,0.8166968251644123,0.8166968251644123,0.8166968251644123,0.8178223863515218,0.8188913227897804,0.8188913227897804,0.8223365606796933,0.8223365606796933,0.823563948641379,0.8278537647585978,0.8351765733887295,0.8433584185499968,0.8548048881902794,0.8704566381124483,0.8900610373030238,0.9198345427368034,0.9670227568083588,0.8429418340843235,0.7666423546367268,0.7666423546367268,0.7666423546367268,0.7666423546367268,0.7666423546367268,0.7666258574036537,0.7666149690353491,0.7666149690353491,0.7645951264959568,0.7645951264959568,0.7617788733213791,0.7460366512989652,0.7239144452232085,0.6866758293135512,0.6090738834962371,0.5019184454979411,0.339306181857801,0.12902422627681376,0.022066323863734298,0.6411606674631332,469.0,469.0,469.0,469.0,469.0,468.0,467.0,467.0,463.0,463.0,461.0,453.0,437.0,416.0,378.0,317.0,220.0,75.0,7.0,391.42105263157896,130.0,130.0,130.0,130.0,130.0,131.0,132.0,132.0,136.0,136.0,138.0,146.0,162.0,183.0,221.0,282.0,379.0,524.0,592.0,207.57894736842104,180.0,180.0,180.0,180.0,180.0,181.0,182.0,182.0,186.0,186.0,188.0,196.0,212.0,233.0,271.0,332.0,429.0,574.0,642.0,257.57894736842104,0.4574290484140234,0.8223365606796933,0.46243739565943237,0.7729549248747913,0.7134052388289677,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.3201032180211987,0.7419871794871795,0.17383177570093458,0.461640866018832,380.741827594698,463,136,186,3,5,3,1,8.0,1070,0.7131410256410257,0.7429048414023373,0.6856702619414484,445,154,204,649,599,36,9
MVI_40204,0.7718255593386747,0.8079674617219954,0.6236099380710284,0.7718255593386747,0.7717752723817275,0.7717583086462085,0.7717583086462085,0.771365104137446,0.7709799773274252,0.7700897797862698,0.7679868948844939,0.7633910977874835,0.7498409708107806,0.7279132356218339,0.6950153293444352,0.6504652158315456,0.5940006373201243,0.5210740507331658,0.42768437741243065,0.3088563254004359,0.15488216399372487,0.029143649594717866,0.620516118894691,0.7527264827286553,0.7526503302050748,0.7525741842985619,0.7525741842985619,0.7520413481584434,0.7512046885174735,0.7490027748872702,0.7462014631401238,0.739874919128747,0.7227109668602665,0.6949159663865546,0.6556125589985635,0.6082848257714696,0.5474528157127513,0.4706161137440758,0.3727285101749132,0.25245280675608545,0.11316849715767978,0.01535402350927534,0.5895867084439236,0.791409240563684,0.7913861818111423,0.7914314620286859,0.7914314620286859,0.7911853854019937,0.7912758460185926,0.7917704564185647,0.7904083546450668,0.7876547144852885,0.7779894138719569,0.7624773414670807,0.7367862335669688,0.6955705272939657,0.6445062423824438,0.5769419244644123,0.4907430520858761,0.37786163269725853,0.21197139951373112,0.05531789834674973,0.655164145741692,0.7724273229891208,0.7723827358658819,0.7723381487426432,0.7723381487426432,0.7720260388799715,0.7715355805243446,0.7702425539504191,0.7685928303905832,0.7648475120385233,0.7545478865703584,0.737426431246656,0.712234706616729,0.6802657392545033,0.636302835741038,0.5755751738897806,0.48836276083467095,0.362537899054753,0.1828517924023542,0.027198145175673264,0.6365281180479289,0.9672268438389816,0.967171012227123,0.9671151806152644,0.9671151806152644,0.9667243593322539,0.966110211601809,0.9644910948579085,0.962425325219139,0.9577354698230138,0.9448383674836692,0.9233990285299537,0.8918541678298253,0.8518229021271844,0.796772932834571,0.7207302774831109,0.6115236446876221,0.453966836022556,0.2289654402322595,0.03405728323376696,0.7970550293997515,0.809616564903973,0.8096046933684036,0.809651022458277,0.809651022458277,0.8095440270179824,0.809729419216977,0.810456071560988,0.8099445268871763,0.808912491863009,0.8044649905590332,0.7971569748952426,0.7838356908625012,0.7593373710604633,0.7260432421715252,0.6783778761667751,0.6106700580016287,0.5081670704121438,0.323597938783648,0.09813123249687641,0.7040469623760475,0.971770904353368,0.9717232494210271,0.9717504820298147,0.9717504820298147,0.9714462437895388,0.9712966940737799,0.9710672052156474,0.9698386543480523,0.9660396249096691,0.9556504259829929,0.9403544177070436,0.9174380766784342,0.8838674097735565,0.8393955190190594,0.7773872588899312,0.6911026311448598,0.5641012000046287,0.3584511954685366,0.10965464386697227,0.8302150694056172,0.8079674617219954,0.8080093136879355,0.8080489611768255,0.8080489611768255,0.8082796815262144,0.8086149494392606,0.8094290201827896,0.8103509352737067,0.8122228826324743,0.816785545123979,0.8234901601721277,0.8322368649977662,0.8418945265325091,0.8533581167102653,0.8666806832297193,0.88276374888712,0.9022331067118432,0.9279762253433972,0.9616731762919257,0.8415823326746674,0.7818606788152602,0.7818267226398342,0.7818265218319974,0.7818265218319974,0.7815470037762443,0.7813433747161659,0.7809323264498175,0.7794242711521214,0.7761673458214319,0.7661790052012629,0.749847281000943,0.7244064652553943,0.6878755693824823,0.640391403503162,0.5762581439753444,0.4895514597844553,0.3701204701870228,0.19687394530287963,0.03878845485512455,0.6456340508148917,17324.0,17323.0,17322.0,17322.0,17315.0,17304.0,17275.0,17238.0,17154.0,16923.0,16539.0,15974.0,15257.0,14271.0,12909.0,10953.0,8131.0,4101.0,610.0,14276.052631578947,5104.0,5105.0,5106.0,5106.0,5113.0,5124.0,5153.0,5190.0,5274.0,5505.0,5889.0,6454.0,7171.0,8157.0,9519.0,11475.0,14297.0,18327.0,21818.0,8151.9473684210525,587.0,588.0,589.0,589.0,596.0,607.0,636.0,673.0,757.0,988.0,1372.0,1937.0,2654.0,3640.0,5002.0,6958.0,9780.0,13810.0,17301.0,3634.9473684210525,0.7077314071696095,0.8165734243778395,0.7118334225075799,0.7552166934189406,0.9456758416615487,0.5754189944134078,0.37988826815642457,0.0446927374301676,0.5692045952430821,0.8397828404273779,0.7942857142857143,0.711745862857707,13831.120662111845,16938,5490,973,92,103,68,8,438.0,1225,0.8091920969781106,0.7277064383805957,0.9112277371447713,16321,6107,1590,17911,22428,293,179
MVI_40962,0.8858323598872749,0.7756768478285408,0.687119652621879,0.8858323598872749,0.8858323598872749,0.8858323598872749,0.8858323598872749,0.8853205846057605,0.884600278016277,0.8805530753374532,0.8627053282935788,0.8189623203701079,0.7576538542204897,0.6975009595504519,0.6432399912526144,0.5935630974294908,0.5402278818965984,0.48362732654349594,0.41354574482729045,0.3145044121733487,0.1402479934547638,0.017120510713972,0.6566685683281471,0.8842664593053395,0.8842664593053395,0.8842664593053395,0.8842664593053395,0.8837781808758746,0.8830462375339981,0.8784237726098191,0.8589694412479223,0.8117133956386293,0.7464264264264264,0.6847045191193512,0.6279252043444183,0.5767270361132198,0.5232058669460451,0.4648866498740554,0.39129186602870814,0.28766274023558586,0.10529116618519081,0.007204710772428126,0.6457012132196333,0.8874010334395144,0.8874010334395144,0.8874010334395144,0.8874010334395144,0.8868656801980588,0.8861570533970446,0.88268753950339,0.8664574637077427,0.8262759808938561,0.769050160192506,0.7105365526132853,0.658928298281393,0.6108906442196447,0.5578036922292029,0.5031234840642873,0.43706526486346914,0.3438506676099144,0.1868105405299802,0.04068336625377756,0.6693047643324005,0.900131926121372,0.900131926121372,0.900131926121372,0.900131926121372,0.899868073878628,0.8994722955145119,0.8969656992084433,0.8862796833773087,0.8593667546174143,0.8197889182058048,0.779551451187335,0.7398416886543535,0.7015831134564644,0.6588390501319261,0.608707124010554,0.5394459102902375,0.42849604221635884,0.18271767810026385,0.013720316622691292,0.7113248159977781,0.9804569622072137,0.9804569622072137,0.9804569622072137,0.9804569622072137,0.9801695645926138,0.9797384681707142,0.9770081908320161,0.9653685874407243,0.9360540307515448,0.892944388561575,0.8491162523351056,0.8058629113378359,0.7641902572208651,0.7176318436556977,0.6630262968817359,0.5875844230492887,0.4667337261100733,0.1990228481103607,0.01494467595918954,0.7748012796756945,0.892124860610644,0.892124860610644,0.892124860610644,0.892124860610644,0.8918362172008021,0.8914300957879475,0.8894879381275177,0.8802081556985955,0.8563585731708603,0.8214212085684095,0.7832416075705119,0.7476091019590749,0.7142915633417012,0.673695625072846,0.6277428369614969,0.565587221436468,0.47096740529644476,0.28182472311481943,0.07365726071376016,0.7230452092875702,0.9919841658276781,0.9919841658276781,0.9919841658276781,0.9919841658276781,0.991696219248526,0.9912925548206106,0.9891247193927769,0.9789990044606518,0.9531056234811576,0.9146112373794266,0.8738379364411955,0.833212627847904,0.7944336360550783,0.749259342647822,0.6984962014078892,0.6312317509316232,0.5235201414166687,0.3125186674083997,0.0795853722949676,0.8043611420287058,0.7756768478285408,0.7756768478285408,0.7756768478285408,0.7756768478285408,0.7758343825655222,0.7760499774399734,0.7773178631905183,0.7820907006926142,0.7932173322898157,0.80859404490396,0.823186136980257,0.8365371681838538,0.8480362467173517,0.8592904858257772,0.8702859666744894,0.8822926915489734,0.8961324902625631,0.9225903321852711,0.9596950363366811,0.8270451709006202,0.8937438119908894,0.8937438119908894,0.8937438119908894,0.8937438119908894,0.8933432215161686,0.8927898515358559,0.889797980472668,0.8763125279230031,0.8426589512484122,0.7940143568413706,0.744244449567031,0.698213881917744,0.6546682825317289,0.6062201372013052,0.5534029716282179,0.4855646915298907,0.3838471703481752,0.18475277592039913,0.023626016724762177,0.6893911849931732,6823.0,6823.0,6823.0,6823.0,6821.0,6818.0,6799.0,6718.0,6514.0,6214.0,5909.0,5608.0,5318.0,4994.0,4614.0,4089.0,3248.0,1385.0,104.0,5391.8421052631575,757.0,757.0,757.0,757.0,759.0,762.0,781.0,862.0,1066.0,1366.0,1671.0,1972.0,2262.0,2586.0,2966.0,3491.0,4332.0,6195.0,7476.0,2188.157894736842,136.0,136.0,136.0,136.0,138.0,141.0,160.0,241.0,445.0,745.0,1050.0,1351.0,1641.0,1965.0,2345.0,2870.0,3711.0,5574.0,6855.0,1567.157894736842,0.7189973614775725,0.8083819513518373,0.7215039577836412,0.8197889182058048,0.892944388561575,0.6777777777777778,0.3,0.022222222222222223,0.5619110086675879,0.8548043194167412,0.3973333333333333,0.721335256780877,5023.285445700317,6214,1366,745,19,61,27,2,73.0,1875,0.846963339982117,0.812269129287599,0.8847535565454807,6157,1423,802,6959,7580,119,90
MVI_63521,0.8264435582563494,0.8460254995081211,0.699192324189097,0.8264435582563494,0.8261141819240623,0.8259231000118918,0.8258415259762053,0.8257583584306369,0.8257311411703169,0.8246437297212389,0.8221726037171889,0.8170041229448692,0.8102110117969242,0.7982021536314554,0.783359763847449,0.7519159169931647,0.7031115107239713,0.6282755307746531,0.5300748475624033,0.4066368382011691,0.24052441478146788,0.06680927253120687,0.6915133464735067,0.8231921824104235,0.821767998958469,0.820938252326111,0.8205828779599271,0.8202276422764228,0.8201092611862643,0.818926296633303,0.8159756018428396,0.8103370205058542,0.8027570213862406,0.7895006074557197,0.7727243934883131,0.738044963358589,0.6862083509067903,0.6105196524141107,0.5111231101511879,0.38134254689042446,0.21004842615012106,0.043397211244500786,0.6798801798708218,0.8297077761154982,0.8304833510687163,0.8309382163645062,0.8311338736707267,0.8313263676722843,0.8313915593541569,0.8304010797604918,0.8284166692931293,0.8237260794184496,0.817734216143534,0.8069996046173121,0.7941415138260576,0.7660475638975068,0.7204310408919757,0.6465478072807882,0.5497292891632168,0.4336088892534635,0.27542217366875643,0.10285174480456222,0.7042652008560596,0.8374867444326617,0.8366914103923648,0.836227465535525,0.8360286320254506,0.8358297985153764,0.8357635206786851,0.8351007423117709,0.8334437963944857,0.830262460233298,0.8259544008483564,0.8183324496288441,0.8085233297985154,0.7876458112407211,0.7548382820784729,0.7031415694591728,0.6273860021208908,0.5120625662778366,0.3219777306468717,0.07714740190880169,0.7238865323435842,0.9796867731431229,0.9787563963405179,0.9782136765389983,0.977981082338347,0.9777484881376958,0.9776709567374787,0.9768956427353078,0.9749573577298806,0.9712358505194604,0.9661963095053496,0.9572801984803846,0.9458055512482555,0.9213831601798729,0.8830051170724144,0.8225306249030857,0.7339122344549542,0.5990075980772213,0.3766475422546131,0.09024654985269034,0.8467979531710343,0.8311585577488714,0.8319354090281009,0.8323910899507712,0.8325870819058947,0.8327799074954491,0.8328452005918193,0.8323034473914825,0.831277156626191,0.8286859404300687,0.8252011387533209,0.8189759086669632,0.8114077948823261,0.7941687539190264,0.7654461039729021,0.7168746576299375,0.6457223606147477,0.5470915459785896,0.38879971274522707,0.16944628765182876,0.7352156871570273,0.9965850986935061,0.9967684460271465,0.9967111724377189,0.9968055226452116,0.996804762718793,0.9968573774237403,0.9961326345684797,0.9945683970681466,0.9912674307559196,0.9869802339728855,0.9789298714022665,0.9690745888970281,0.94809214845389,0.9132248159190893,0.8552451598161127,0.7720061365889219,0.6540142584957734,0.46448131638567264,0.19601995113900025,0.878977332811016,0.8460254995081211,0.8467575174022975,0.8471602167471592,0.847324017182507,0.8474712851352212,0.847518621813123,0.8479281391957054,0.8488639411664899,0.8504767820100995,0.8524180259835397,0.8554158196681221,0.8588123451120715,0.8649440685468257,0.8730723721018994,0.8837684564520407,0.8966392315160318,0.9123526668165345,0.9334836612110772,0.9609285510773447,0.869545327297169,0.8335881862463217,0.8335816014722623,0.8335786457720115,0.8335776601102931,0.8335750418480901,0.8335746737445735,0.832747595688203,0.8309264310708505,0.8269878120361212,0.8218340310233162,0.8126462719387776,0.8013001566765589,0.776771623397141,0.7374340168875484,0.674251169774143,0.5872754557929948,0.47120577308858475,0.2977915486505532,0.08907718503331293,0.7137749936974556,12636.0,12624.0,12617.0,12614.0,12611.0,12610.0,12600.0,12575.0,12527.0,12462.0,12347.0,12199.0,11884.0,11389.0,10609.0,9466.0,7726.0,4858.0,1164.0,10922.0,2452.0,2464.0,2471.0,2474.0,2477.0,2478.0,2488.0,2513.0,2561.0,2626.0,2741.0,2889.0,3204.0,3699.0,4479.0,5622.0,7362.0,10230.0,13924.0,4166.0,262.0,274.0,281.0,284.0,287.0,288.0,298.0,323.0,371.0,436.0,551.0,699.0,1014.0,1509.0,2289.0,3432.0,5172.0,8040.0,11734.0,1976.0,0.7953340402969247,0.8522340977486237,0.7970572640509014,0.8259544008483564,0.9661963095053496,0.6888888888888889,0.3111111111111111,0.0,0.6732861430370723,0.8905881512184664,0.2121654501216545,0.7969634826784218,10620.541326143348,12462,2626,436,26,62,28,0,126.0,2055,0.882012434788823,0.818001060445387,0.9568925414792991,12342,2746,556,12898,15088,179,90
