tracker,baseline,diff,ci_low,ci_high,n_videos,n_events
runB-ekf_ctrv,runB-cv,-0.003988035892322994,-0.014857738095238094,0.007057031473023115,55,1003
runB-ukf_ctrv,runB-cv,-0.005982053838484491,-0.017626297226246746,0.0052311516042304745,55,1003
