video,HOTA,DetA,AssA,MOTA,MOTP,FP,FN,IDSW,GT_dets,IDF1,IDP,IDR
MVI_20011,0.5306530526461605,0.5064757777362693,0.556993917687483,0.6015676028739386,0.8113331229825476,268,2768,14,7655,0.7383294301327088,0.9173617846750728,0.6177661659046375
MVI_39811,0.5527967410404449,0.48625131389442006,0.6297366486010403,0.4574290484140234,0.8223365606796933,186,136,3,599,0.7131410256410257,0.6856702619414484,0.7429048414023373
MVI_40204,0.620516118894691,0.5895867084439236,0.655164145741692,0.7077314071696095,0.8165734243778395,973,5490,92,22428,0.8091920969781106,0.9112277371447713,0.7277064383805957
MVI_40962,0.6566685683281471,0.6457012132196333,0.6693047643324005,0.7189973614775725,0.8083819513518373,745,1366,19,7580,0.846963339982117,0.8847535565454807,0.812269129287599
MVI_63521,0.6915133464735067,0.6798801798708218,0.7042652008560596,0.7953340402969247,0.8522340977486237,436,2626,26,15088,0.882012434788823,0.9568925414792991,0.818001060445387
