video,HOTA,DetA,AssA,MOTA,MOTP,FP,FN,IDSW,GT_dets,IDF1,IDP,IDR
MVI_40131,0.6580695129971413,0.6720575907670548,0.6458017434207848,0.7753850169668494,0.8290398414840642,1405,1944,93,15324,0.8054070211564649,0.8200879269529929,0.7912424954320021
MVI_40171,0.4529800045190282,0.3906797870985101,0.528463334475268,0.3781362007168459,0.8078239259625133,948,4462,142,8928,0.5301910472737414,0.7022534170668637,0.4258512544802867
MVI_40172,0.4139464398429373,0.39052777646280284,0.43880349887267167,0.4221695513173851,0.8380546169264897,845,9533,105,18142,0.45405131178431657,0.6626824624497567,0.34533127549333037
MVI_40204,0.6199409150057754,0.5904356503904582,0.6529520110887602,0.7054574638844302,0.8147325457570922,1112,5316,178,22428,0.8132441208304635,0.9070456540825286,0.7370251471375067
MVI_40751,0.6208856625766652,0.5940248602515757,0.6605181912465511,0.7122935282967777,0.7924698670553212,835,1232,58,7386,0.7639652173913043,0.7856631850050079,0.7434335228811264
MVI_63554,0.5768098023452016,0.531604193785799,0.6282250689528402,0.6142987711993501,0.7846020605337738,772,2926,100,9847,0.762599771949829,0.8693617574418302,0.6791916319691277
