video_file,loai,n_ung_vien,video,track_id,seg_id,case,frame_start,frame_end,T_occ,ob_deg,od_deg,fde_kf,fde_ekf
1_ctrv_thang_clamped.mp4,CTRV THANG,12,MVI_40992,44,0,CASE_A,2143,2160,18,-0.6811653229298437,-1.3817162234139848,53.064592958887765,31.628010908482597
2_cv_thang_clamped.mp4,CV THANG,165,MVI_63553,134,0,STRAIGHT,1001,1066,66,-1.815148521807777,-0.0315599191296135,247.5707342348285,845.2615838317832
3_tran_thong_tin_clamped.mp4,TRAN THONG TIN,35,MVI_40992,21,2,CASE_B,1084,1126,43,-0.006150709646328,1.30684387358343,63.42894151814682,67.39520072651302
4_tran_detector_clamped.mp4,TRAN DETECTOR,88,MVI_40241,133,0,STRAIGHT,967,991,25,0.0916088294579958,0.1857500887828718,141.16301166610734,134.39128545180728
