video,track_id,start,end,T,omega_ekf,v_ekf,R_px,arc_deg,omega_gt_before,omega_gt_during
MVI_39821,13,465,501,37,0.001379234516814706,10.996096756639663,7972.60844517926,2.923899720573177,-0.0037352608752456032,-0.003750125895553096
MVI_39821,24,702,722,21,-0.05,14.85247338771121,297.04946775422417,60.160568488736445,0.02603122084473508,-0.006943652403994924
MVI_39821,24,759,784,26,0.00625704296083618,4.1040138318396995,655.9030931267965,9.321056001086793,0.0095576698363136,-0.010822534568677303
MVI_39821,25,851,861,11,9.58922362415363e-05,12.34959747767831,128786.2079529751,0.060436424671826125,0.00036598909282683844,-0.022717213477719503
MVI_39861,1,23,48,26,-0.00459215186804776,1.9058435735989516,415.02189569553025,6.840883943978592,-0.10661472437371135,
MVI_39861,1,169,241,73,0.002256718631584651,4.075095091903056,1805.761265435893,9.43893307909875,-0.00038017685637412247,0.010041329352835509
MVI_39861,7,420,421,2,-0.05,25.041865737322414,500.83731474644827,5.729577951308233,-0.022655881881708195,
MVI_39861,7,441,447,7,0.009878100964736935,8.065680794824281,816.5213965333345,3.961814464184733,0.0006928228002008788,-0.0005011643492679241
MVI_39861,7,484,521,38,-0.003722274428445931,3.2500778249162425,873.142990231692,8.104283367698057,-0.011820751184351707,0.005270145360242668
MVI_39861,7,529,565,37,0.00442814488545455,1.5548484638151383,351.12863378126184,9.387418481332523,0.09925103744175494,-0.10055918039081872
MVI_39931,4,142,181,40,-0.002590606269279468,1.896240052848013,731.9676769621263,5.937232224393807,-0.025732301333346672,0.006039065775123016
MVI_39931,12,100,201,102,-0.025018893718495777,4.556210094759547,182.11077380257092,146.2146558519298,-0.027268509747167546,0.0012538942323290004
MVI_39931,14,324,361,38,0.003188758578155976,2.1089854832170007,661.381359399307,6.9426915197500385,0.05258817204529699,-0.008114419033785984
MVI_39931,17,407,431,25,0.008106657318523655,1.770314490151124,218.3778616256503,11.611931257756163,0.027373839359670082,-0.02662258765280225
MVI_39931,19,577,611,35,-0.007145811057584331,1.3477285203755827,188.60399603557215,14.329868517912411,-6.306823503798853e-05,-0.0072721360005219395
MVI_40172,16,244,423,180,0.017995751356628446,1.789022956920063,99.41362944321328,185.5945083422944,0.004099112745268529,-0.0018749168728543237
MVI_40191,204,1706,1707,2,0.0014862198107753856,1.0455449610917167,703.4928168170753,0.17030824517232285,0.00027081620000224405,
