video,track_id,seg_id,lvl,frame_start,frame_end,T_occ,ob_deg,od_deg,case,fde_kf,fde_ekf,gain_ctrv
MVI_40241,37,0,partial,198,217,20,-0.0337221645587655,-0.1566994967894164,STRAIGHT,108.90293258659756,114.14654051649133,-5.24360792989377
MVI_40241,43,0,partial,240,261,22,-0.3772460431080423,-0.0417788300737062,STRAIGHT,85.53779851805854,80.3902188204114,5.1475796976471315
MVI_40241,59,0,partial,401,431,31,-0.0435409479999977,-0.1052446428304616,STRAIGHT,111.39237097852822,103.98624030172785,7.406130676800373
MVI_40241,79,0,partial,567,586,20,-0.4722208097940695,-0.6095139372001062,CASE_A,109.08674120477588,104.70409266010878,4.3826485446670915
MVI_40241,84,0,partial,596,611,16,0.3248278419904589,-0.6166434618185193,CASE_C,70.16450996970315,67.59848014746112,2.5660298222420295
MVI_40241,87,0,partial,594,611,18,0.1233530076014445,-0.215278510139937,STRAIGHT,102.74451826740338,96.08488005265761,6.659638214745769
MVI_40241,110,0,partial,745,786,42,-0.0068453706393725,0.106526142897354,STRAIGHT,212.921669922829,203.86961703550108,9.052052887327932
MVI_40241,129,0,partial,928,945,18,-0.143047836325619,-0.076859357100574,STRAIGHT,49.9460040581544,46.425683300128924,3.520320758025477
MVI_40241,133,0,partial,967,991,25,0.0916088294579958,0.1857500887828718,STRAIGHT,141.16301166610734,134.39128545180728,6.77172621430006
MVI_40241,149,0,partial,1068,1086,19,-0.0946933341827281,-0.4333373731295183,CASE_B,55.167806368683806,49.13810433469422,6.029702033989587
MVI_40241,150,0,partial,1045,1086,42,-0.2676268525032935,0.006189218041677,STRAIGHT,240.80848266247344,234.3367791855465,6.471703476926933
MVI_40241,157,0,partial,1098,1121,24,-0.0824307562167687,0.933267978140638,CASE_B,89.8919941847433,82.46539142532569,7.426602759417605
MVI_40241,161,0,partial,1127,1151,25,0.0451447610141447,-0.533852093425142,CASE_B,143.8386478830425,136.116906975834,7.721740907208499
MVI_40241,183,0,partial,1261,1301,41,0.0593949640855196,-0.1661334840153656,STRAIGHT,266.23504690766305,259.2053714082378,7.029675499425252
MVI_40241,189,0,partial,1288,1327,40,0.3517475116608511,-0.0565085694098997,STRAIGHT,184.0870831517377,180.42544689718946,3.6616362545482275
MVI_40241,193,1,partial,1305,1355,51,-0.3893897500759919,-0.2024062709056788,STRAIGHT,364.28523518258,357.138943884488,7.146291298091967
MVI_40241,202,0,partial,1407,1416,10,-0.2476948812235312,-1.880595908479854,CASE_B,27.962816784236,21.088472862803226,6.874343921432775
MVI_40241,216,1,partial,1495,1526,32,-0.022356569277306,-0.1473497375299738,STRAIGHT,227.00630028478852,220.73663632415628,6.2696639606322435
MVI_40241,223,1,partial,1544,1595,52,0.5036441635166532,-0.0212465257986121,STRAIGHT,321.9773724588233,343.11864772617645,-21.141275267353137
MVI_40241,228,1,partial,1593,1639,47,0.1175106635342328,0.1179123350935956,STRAIGHT,301.7935954450812,301.806748092446,-0.013152647364790937
MVI_40241,234,0,partial,1640,1666,27,-0.1208054095668735,-0.115337089888667,STRAIGHT,133.04777795156306,126.57846058392727,6.469317367635796
MVI_40241,235,1,partial,1644,1678,35,0.0417022700623575,-0.0837719701046499,STRAIGHT,241.6387211296429,236.75820007436647,4.880521055276432
MVI_40241,241,0,partial,1691,1706,16,-0.0405564113111306,0.532132709380641,CASE_B,12.252074415458566,15.15559062783043,-2.903516212371864
MVI_40241,243,0,partial,1671,1701,31,-3.312012841415879,0.0335287251450193,STRAIGHT,323.78410910598467,471.9228129357396,-148.13870382975495
MVI_40241,254,1,partial,1760,1799,40,-0.501831555229085,-0.0385020549881715,STRAIGHT,271.07484227963823,266.32856872796077,4.7462735516774615
MVI_40241,311,0,partial,2181,2206,26,-0.1343884233353421,-0.1022928646349187,STRAIGHT,130.82670874598085,125.18465528420894,5.6420534617719085
MVI_40241,324,3,partial,2260,2287,28,0.0696361920038769,-0.1207058184909253,STRAIGHT,198.34476865706722,193.92681996720026,4.417948689866961
MVI_40241,325,0,partial,2255,2291,37,-0.1040163485958177,-0.0496809933781088,STRAIGHT,201.05771762879385,195.33702533110988,5.720692297683968
MVI_40241,335,1,partial,2303,2320,18,1.1166426364137865,0.3406986323647098,CASE_A,20.62577892901578,27.99005310929898,-7.3642741802832
MVI_40752,6,1,partial,79,127,49,0.2065535259448635,-0.0029372943609792,STRAIGHT,157.6596524865441,154.99498924147883,2.6646632450652703
MVI_40752,9,0,partial,136,156,21,-0.7085674782802631,0.2992566920633591,CASE_C,28.84353700583632,48.03794000959176,-19.194403003755436
MVI_40752,17,0,partial,185,230,46,-0.4838889502484279,-0.0900484536520336,STRAIGHT,87.16481676008146,85.29765217031014,1.8671645897713205
MVI_40752,28,1,partial,204,230,27,-0.2885618816521997,0.1032882923802251,STRAIGHT,44.01775155124677,41.436544580730526,2.5812069705162415
MVI_40752,28,2,partial,240,268,29,-0.2786375723207497,-0.1499498442041755,STRAIGHT,93.81757019045827,87.04994747655321,6.767622713905055
MVI_40752,29,0,partial,206,266,61,0.8711826544349008,0.0037697034131868,STRAIGHT,278.47424605032285,337.62185181553167,-59.14760576520882
MVI_40752,36,2,partial,358,386,29,-0.1966289096890613,0.1815683361854406,STRAIGHT,65.01466219239651,57.38234963909826,7.632312553298256
MVI_40752,48,1,partial,447,461,15,0.1704901670915367,0.5110292561158987,CASE_B,35.38566674611408,30.34544089176657,5.040225854347511
MVI_40752,60,1,partial,588,609,22,-0.1100023978530463,-0.0876841673100011,STRAIGHT,65.77662689523963,58.642506043786064,7.134120851453567
MVI_40752,63,1,partial,596,626,31,0.8333476434506384,0.1726104665541059,STRAIGHT,90.43256505323012,130.7971268580525,-40.36456180482239
MVI_40752,68,0,partial,709,735,27,-0.0489065483475706,-0.2910760804583653,CASE_B,42.27069514310318,47.188695153942334,-4.918000010839151
MVI_40752,69,2,partial,720,729,10,-0.065703887818516,0.0648808595275969,STRAIGHT,23.33115460651977,19.587826717111618,3.743327889408153
MVI_40752,71,0,partial,725,735,11,0.8897498822649913,0.5220680275555827,CASE_A,6.958191096949359,6.835457564681269,0.12273353226809025
MVI_40752,78,1,partial,745,774,30,0.5496415955794951,0.307525063582286,CASE_A,166.32810100910507,183.80913250640072,-17.481031497295646
MVI_40752,105,0,partial,1101,1136,36,0.155780481382749,0.0188004027421163,STRAIGHT,114.80709903549597,103.25122033577674,11.55587869971923
MVI_40752,112,0,partial,1166,1226,61,0.0543970533906736,-0.0518490555219915,STRAIGHT,253.06010810204114,246.080968265837,6.979139836204155
MVI_40752,113,1,partial,1204,1226,23,-0.2938225821999436,0.1886932432007848,STRAIGHT,83.72776718303697,76.72404057093522,7.003726612101758
MVI_40752,138,0,partial,1441,1475,35,1.2420871565535494,-0.0299024663871499,STRAIGHT,32.78976816945063,99.23116731680328,-66.44139914735266
MVI_40752,146,1,partial,1523,1591,69,-0.5902518407699769,0.0617880187439156,STRAIGHT,426.16396018258376,561.8648297057706,-135.70086952318684
MVI_40752,148,1,partial,1534,1558,25,0.2711423482446151,-0.0158551376502626,STRAIGHT,97.16139178474167,109.19612214531628,-12.034730360574613
MVI_40752,149,0,partial,1566,1589,24,0.077994777604909,0.3220584533709438,CASE_B,81.01305821431353,74.93275754420135,6.08030067011218
MVI_40752,164,0,partial,1744,1781,38,0.1093208607393809,-0.6739947954881077,CASE_B,35.67767161350459,61.704498802044796,-26.026827188540203
MVI_40752,174,0,partial,1806,1838,33,0.3351870184432688,0.0170946129164154,STRAIGHT,46.50493567117922,72.81776128943554,-26.31282561825632
MVI_40752,175,0,partial,1840,1860,21,0.9588881836110298,-0.4654370380243184,CASE_C,17.447866223494064,20.836600942132844,-3.38873471863878
MVI_40752,180,0,partial,1914,1936,23,0.140406606706444,0.2057163672863695,STRAIGHT,13.594893342744149,24.814508129510457,-11.219614786766309
MVI_40752,181,1,partial,1848,1865,18,-0.1706918049753846,0.4559447787881088,CASE_B,29.328904941299072,26.51120947984933,2.817695461449741
MVI_40752,181,2,partial,1873,1885,13,0.2377303171631756,0.4995260583057038,CASE_B,25.13092781135407,22.458964393330316,2.671963418023754
MVI_40752,182,0,partial,1875,1891,17,-0.0352661236260709,0.1400608861012169,STRAIGHT,41.06554552574698,47.05801396042833,-5.992468434681356
MVI_40752,187,2,partial,1919,1933,15,-0.1796839456888211,0.4350686134749073,CASE_B,27.392107421800524,23.93847327395093,3.453634147849595
MVI_40752,187,3,partial,1938,1959,22,0.2639805540507304,-0.1752263519726154,STRAIGHT,70.46554484694416,65.45989426722497,5.0056505797191875
MVI_40992,2,0,partial,15,54,40,0.0641271375797542,0.2503033999367412,CASE_B,257.4005666927378,275.6831025199558,-18.282535827218
MVI_40992,3,0,partial,54,81,28,-0.4915067149605576,0.0491695287692965,STRAIGHT,141.91186870041622,156.91387955966886,-15.002010859252636
MVI_40992,4,0,partial,146,184,39,0.0112183182849178,-0.0272653296801815,STRAIGHT,183.39635136378135,198.54659105546776,-15.150239691686409
MVI_40992,5,0,partial,228,293,66,-0.1066549814307614,0.0435836515973933,STRAIGHT,273.9364833478359,293.7713045230737,-19.834821175237778
MVI_40992,7,0,partial,294,328,35,-0.259075168497565,-0.0179356576481259,STRAIGHT,165.83628463177905,188.3873995856347,-22.55111495385566
MVI_40992,8,0,partial,322,396,75,-0.0012524694026047,-0.1509912710739384,STRAIGHT,523.596601715034,551.0856447191765,-27.489043004142445
MVI_40992,10,0,partial,386,425,40,-0.3018259665286189,0.2917983467290472,CASE_C,237.68236409725353,256.36950077868823,-18.68713668143471
MVI_40992,12,1,partial,524,563,40,-0.2134907381505117,0.2198836175876268,STRAIGHT,184.42560847951955,205.34830408699852,-20.92269560747897
MVI_40992,12,2,partial,575,609,35,-0.2153721400427208,0.5493505137835305,CASE_B,51.284110212888,54.33649401070657,-3.052383797818571
MVI_40992,18,1,partial,938,975,38,-1.7239585454296025,-0.0080270243479569,STRAIGHT,213.16258831455286,290.8158254088119,-77.65323709425905
